sr_no,date_dd/mm/yyyy,startup_name,industry_vertical,subvertical,city_location,investors_name,investmentntype,amount_in_usd,remarks,year,funding_category
1,2020-09-01,Byju’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,4200000.0,,2020.0,Medium
2,,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,4200000.0,,,Medium
3,2020-09-01,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,4200000.0,,2020.0,Medium
4,2020-02-01,Https://Www.Wealthbucket.In/,Fintech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,4200000.0,,2020.0,Medium
5,2020-02-01,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,4200000.0,,2020.0,Medium
6,,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,4200000.0,,,Medium
7,2020-10-01,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,4200000.0,,2020.0,Medium
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,4200000.0,,2019.0,Medium
9,2019-06-12,Cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,4200000.0,,2019.0,Medium
10,2019-03-12,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,4200000.0,,2019.0,Medium
11,,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,4200000.0,,,Medium
12,,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,4200000.0,,,Medium
13,,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,4200000.0,,,Medium
14,,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,4200000.0,,,Medium
15,,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,4200000.0,,,Medium
16,2019-11-12,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,4200000.0,,2019.0,Medium
17,,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,4200000.0,,,Medium
18,,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,4200000.0,,,Medium
19,,Misters,Health And Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4200000.0,,,Medium
20,,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,4200000.0,,,Medium
21,,Burger Singh,Food And Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,4200000.0,,,Medium
22,,Healthians,Health And Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,4200000.0,,,Medium
23,,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,4200000.0,,,Medium
24,,Aye Finance,Fintech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,4200000.0,,,Medium
25,2019-12-11,Supergaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,4200000.0,,2019.0,Medium
26,,Clumio,Saas,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,4200000.0,,,Medium
27,2019-11-11,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,4200000.0,,2019.0,Medium
28,,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,4200000.0,,,Medium
29,,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,4200000.0,,,Medium
30,,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,4200000.0,,,Medium
31,,Furtados School Of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,4200000.0,,,Medium
32,,Paytm,Fintech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,4200000.0,,,Medium
33,2019-04-10,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,4200000.0,,2019.0,Medium
34,2019-02-10,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4200000.0,,2019.0,Medium
35,,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,4200000.0,,,Medium
36,2019-05-09,Fpl Technologies,Fintech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,4200000.0,,2019.0,Medium
37,2019-04-09,Cashflo,Fintech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,4200000.0,,2019.0,Medium
38,2019-04-09,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,4200000.0,,2019.0,Medium
39,2019-04-09,3Rdflix,Saas,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,4200000.0,,2019.0,Medium
40,2019-04-09,75F,Iot,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,4200000.0,,2019.0,Medium
41,2019-04-09,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,4200000.0,,2019.0,Medium
42,2019-04-09,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,4200000.0,,2019.0,Medium
43,2019-04-09,Goqii,Health And Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,4200000.0,,2019.0,Medium
44,2019-03-09,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,4200000.0,,2019.0,Medium
45,2019-01-08,Cardekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,4200000.0,,2019.0,Medium
46,2019-01-08,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,4200000.0,,2019.0,Medium
47,2019-01-08,Mypetrolpump,Retail,Fuel Delivery,Bengaluru,Undisclosed,Seed Funding Round,4200000.0,,2019.0,Medium
48,2019-01-08,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,4200000.0,,2019.0,Medium
49,2019-01-08,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,4200000.0,,2019.0,Medium
50,2019-12-08,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,4200000.0,,2019.0,Medium
51,,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,4200000.0,,,Medium
52,,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,4200000.0,,,Medium
53,,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,4200000.0,,,Medium
54,,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4200000.0,,,Medium
55,,Tala,Fintech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,4200000.0,,,Medium
56,,Indwealth,Fintech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,4200000.0,,,Medium
57,,Hungerbox,Food And Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,4200000.0,,,Medium
58,,Admitkard,Edtech,University Admissions,Noida,Growth DNA,Seed Round,4200000.0,,,Medium
59,,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,4200000.0,,,Medium
60,,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,4200000.0,,,Medium
61,,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,4200000.0,,,Medium
62,2019-02-07,Renewbuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,4200000.0,,2019.0,Medium
63,2019-02-07,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,4200000.0,,2019.0,Medium
64,2019-01-07,Wizcounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,4200000.0,,2019.0,Medium
65,2019-03-07,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,4200000.0,,2019.0,Medium
66,2019-01-07,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,4200000.0,,2019.0,Medium
67,2019-04-07,Daalchini Technologies,Food And Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4200000.0,,2019.0,Medium
68,2019-10-07,"""Byju\\'S""",Edtech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,4200000.0,,2019.0,Medium
69,2019-11-07,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,4200000.0,,2019.0,Medium
70,2019-10-07,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,4200000.0,,2019.0,Medium
71,2019-10-07,Indus Os,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,4200000.0,,2019.0,Medium
72,2019-10-07,Healthassure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,4200000.0,,2019.0,Medium
73,2019-09-07,House Of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,4200000.0,,2019.0,Medium
74,2019-08-07,Board Infinity,Edtech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,4200000.0,,2019.0,Medium
75,2019-05-06,Nobroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,4200000.0,,2019.0,Medium
76,2019-04-06,Bira91,Food And Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,4200000.0,,2019.0,Medium
77,2019-03-06,Fabhotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",,4200000.0,,2019.0,Medium
78,2019-03-06,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,4200000.0,,2019.0,Medium
79,2019-04-06,Bharatpe,Finance,FinTech,New Delhi,Insight Partners,Series B,4200000.0,,2019.0,Medium
80,2019-04-06,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,4200000.0,,2019.0,Medium
81,2019-03-06,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,4200000.0,,2019.0,Medium
82,2019-06-06,Sistema.Bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",,4200000.0,,2019.0,Medium
83,2019-06-06,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,4200000.0,,2019.0,Medium
84,2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,4200000.0,,2019.0,Medium
85,2019-10-06,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,4200000.0,,2019.0,Medium
86,2019-10-06,Okcredit,Fintech,Financial Services,Haryana,Tiger Global Management,Series A,4200000.0,,2019.0,Medium
87,2019-06-06,Biz2Credit,Fintech,Online Lending Platform,New York,WestBridge Capital,Series B,4200000.0,,2019.0,Medium
88,2019-08-06,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,4200000.0,,2019.0,Medium
89,2019-04-06,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,4200000.0,,2019.0,Medium
90,2019-06-05,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,4200000.0,,2019.0,Medium
91,2019-06-05,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,4200000.0,,2019.0,Medium
92,2019-05-05,Styledotme,E-Commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,4200000.0,,2019.0,Medium
93,2019-01-05,Blackbuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,4200000.0,,2019.0,Medium
94,2019-02-05,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,4200000.0,,2019.0,Medium
95,,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,4200000.0,,,Medium
96,,Freshvnf,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,4200000.0,,,Medium
97,,Glowroad,E-Commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,4200000.0,,,Medium
98,,Bira91,Food And Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,4200000.0,,,Medium
99,,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,4200000.0,,,Medium
100,2019-12-04,Medlife,E-Commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,4200000.0,,2019.0,Medium
101,2019-10-04,Kabadiwala,E-Commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,4200000.0,,2019.0,Medium
102,,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,4200000.0,,,Medium
103,2019-12-04,Azah,Health And Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,4200000.0,,2019.0,Medium
104,2019-11-04,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,4200000.0,,2019.0,Medium
105,2019-10-04,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,4200000.0,,2019.0,Medium
106,2019-10-04,Craftsvilla,E-Commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,4200000.0,,2019.0,Medium
107,2019-10-04,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,4200000.0,,2019.0,Medium
108,2019-11-04,Clevertap,Saas,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,4200000.0,,2019.0,Medium
109,,My Healthcare,E-Commerce,Software Solutions,Bengaluru And Gurugram,Sixth Sense Ventures,Series A,4200000.0,,,Medium
110,,Krazybee,E-Commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,4200000.0,,,Medium
111,,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,4200000.0,,,Medium
112,,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,4200000.0,,,Medium
113,2019-01-02,Fleetx,Ai,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,4200000.0,,2019.0,Medium
114,2019-08-02,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,4200000.0,,2019.0,Medium
115,,Nanoclean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4200000.0,,,Medium
116,,Oyorooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,4200000.0,,,Medium
117,2019-03-01,Cardekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,4200000.0,,2019.0,Medium
118,2019-04-01,Vyome Therapeutics Inc.,Health And Wellness,Specialty pharmaceutical,India/Us,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,4200000.0,,2019.0,Medium
119,2019-04-01,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt-Funding,4200000.0,,2019.0,Medium
120,2018-04-12,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,4200000.0,,2018.0,Medium
121,2018-01-12,Urbanclap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,4200000.0,,2018.0,Medium
122,2018-02-12,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,4200000.0,,2018.0,Medium
123,2018-02-12,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,4200000.0,,2018.0,Medium
124,2018-04-12,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,4200000.0,,2018.0,Medium
125,2018-06-12,Shopkirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,4200000.0,,2018.0,Medium
126,2018-06-12,Buildsupply,"Saas, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,4200000.0,,2018.0,Medium
127,2018-01-11,Godesi,Food And Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/ Angel Funding,4200000.0,,2018.0,Medium
128,2018-03-11,Veritas Finance Ltd.,Nbfc,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,4200000.0,,2018.0,Medium
129,2018-06-11,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,4200000.0,,2018.0,Medium
130,2018-08-11,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,4200000.0,,2018.0,Medium
131,2018-08-11,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,4200000.0,,2018.0,Medium
132,2018-12-11,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,4200000.0,,2018.0,Medium
133,2018-12-11,Milkbasket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,4200000.0,,2018.0,Medium
134,,Driveu,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,4200000.0,,,Medium
135,,Cleansecar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/ Angel Funding,4200000.0,,,Medium
136,,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,4200000.0,,,Medium
137,,Healthifyme,Health And Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),4200000.0,,,Medium
138,,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,4200000.0,,,Medium
139,,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,4200000.0,,,Medium
140,,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,4200000.0,,,Medium
141,,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,4200000.0,,,Medium
142,,Engineer.Ai,Software,AI Platform,India/Us,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,4200000.0,,,Medium
143,,Incred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,4200000.0,,,Medium
144,,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,4200000.0,,,Medium
145,2018-01-10,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Seed/ Angel Funding,4200000.0,,2018.0,Medium
146,2018-02-10,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/ Angel Funding,4200000.0,,2018.0,Medium
147,2018-04-10,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,4200000.0,,2018.0,Medium
148,2018-05-10,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,4200000.0,,2018.0,Medium
149,2018-11-10,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4200000.0,,2018.0,Medium
150,2018-12-10,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,4200000.0,,2018.0,Medium
151,2018-12-10,Letstransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,4200000.0,,2018.0,Medium
152,2018-01-09,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,4200000.0,,2018.0,Medium
153,2018-03-09,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,4200000.0,,2018.0,Medium
154,2018-03-09,Daily Hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bengaluru,Falcon Edge,Private Equity,4200000.0,,2018.0,Medium
155,2018-04-09,3Hcare,Healthcare,Healthcare Service Provider,Delhi,Undisclosed,Seed / Angel Funding,4200000.0,,2018.0,Medium
156,2018-04-09,Happygoeasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,4200000.0,,2018.0,Medium
157,2018-05-09,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,4200000.0,,2018.0,Medium
158,2018-05-09,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,4200000.0,,2018.0,Medium
159,2018-06-09,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,4200000.0,,2018.0,Medium
160,2018-10-09,Mamaearth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4200000.0,,2018.0,Medium
161,2018-11-09,Autogrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,4200000.0,,2018.0,Medium
162,2018-11-09,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,4200000.0,,2018.0,Medium
163,2018-11-09,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,4200000.0,,2018.0,Medium
164,2018-12-09,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,4200000.0,,2018.0,Medium
165,2018-01-08,Dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/ Angel Funding,4200000.0,,2018.0,Medium
166,2018-01-08,Healthfin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed/ Angel Funding,4200000.0,,2018.0,Medium
167,2018-02-08,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,4200000.0,,2018.0,Medium
168,2018-03-08,Ziffyhomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,4200000.0,,2018.0,Medium
169,2018-07-08,My Omnamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,Undisclosed,Seed/ Angel Funding,4200000.0,,2018.0,Medium
170,2018-07-08,Shopx,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,4200000.0,,2018.0,Medium
171,2018-07-08,Makemytrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,4200000.0,,2018.0,Medium
172,2018-08-08,Hansel Io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/ Angel Funding,4200000.0,,2018.0,Medium
173,2018-08-08,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,4200000.0,,2018.0,Medium
174,2018-08-08,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,4200000.0,,2018.0,Medium
175,2018-09-08,Quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/ Angel Funding,4200000.0,,2018.0,Medium
176,2018-09-08,Happy Emi,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/ Angel Funding,4200000.0,,2018.0,Medium
177,,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/ Angel Funding,4200000.0,,,Medium
178,,Observe Ai,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,4200000.0,,,Medium
179,,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,Undisclosed,Seed/ Angel Funding,4200000.0,,,Medium
180,,Eazydiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,4200000.0,,,Medium
181,,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,Undisclosed,Seed / Angel Funding,4200000.0,,,Medium
182,,Rawpressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4200000.0,,,Medium
183,,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bengaluru,CDC Group plc\\xc2\\xa0,Private Equity,4200000.0,,,Medium
184,,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,4200000.0,,,Medium
185,,Zestmoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,4200000.0,,,Medium
186,,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000.0,,,Medium
